person_id,user_id,first_name,last_name,birth_date,sexe
1,1,John,Doe,1980-12-10,M
2,2,Jane,Doe,1985-03-12,F
3,3,Jim,Brown,1975-05-15,M
4,4,Emily,Smith,1987-08-25,F
5,5,Robert,Johnson,1990-01-05,M
6,6,Lisa,Martin,1983-06-13,F
7,7,Michael,Williams,1985-07-20,M
8,8,Linda,Jones,1988-11-28,F
9,9,David,Miller,1980-09-10,M
10,10,Patricia,Davis,1989-02-14,F
11,11,James,Anderson,1978-04-16,M
12,12,Jennifer,Taylor,1982-07-19,F
13,13,Joseph,Moore,1984-12-21,M
14,14,Susan,Thomas,1990-03-22,F
15,15,William,Jackson,1976-06-23,M
16,16,Elizabeth,White,1987-09-24,F
17,17,Charles,Harris,1980-12-25,M
18,18,Barbara,Nelson,1988-03-26,F
19,19,Richard,Lee,1982-06-27,M
20,20,Mary,Lewis,1984-09-28,F
21,61,Steven,Tyler,1948-03-26,M
22,62,Joe,Perry,1950-09-10,M
23,63,Tom,Hamilton,1951-12-31,M
24,64,Brad,Whitford,1952-02-23,M
25,65,Joey,Kramer,1950-06-21,M
26,66,James,Hetfield,1963-08-03,M
27,67,Lars,Ulrich,1963-12-26,M
28,68,Kirk,Hammett,1962-11-18,M
29,69,Robert,Trujillo,1964-10-23,M
30,70,Anthony,Kiedis,1962-11-01,M
31,71,Michael,Balzary,1962-10-16,M
32,72,Chad,Smith,1961-10-25,M
33,73,John,Frusciante,1970-03-05,M
34,74,Thom,Yorke,1968-10-07,M
35,75,Jonny,Greenwood,1971-11-05,M
36,76,Colin,Greenwood,1969-06-26,M
37,77,Phil,Selway,1967-05-23,M
38,78,Ed,O'Brien,1968-04-15,M
39,79,Joe,Strummer,1952-08-21,M
40,80,Mick,Jones,1955-06-26,M
41,81,Stevie,Nicks,1948-05-26,F
42,82,Joan,Jett,1958-09-22,F
43,83,Chrissie,Hynde,1951-09-07,F
44,84,Debbie,Harry,1945-07-01,F
45,85,Pat,Benatar,1953-01-10,F
